,revenue_category,year,power_code_code,value,mean_value
855,5113 Other (than value added and sales tax),2013,600000,0.04333717207165356,0.04333717207165356
856,5113 Other (than value added and sales tax),2014,600000,0.04333717207165356,0.04333717207165356
857,5113 Other (than value added and sales tax),2015,600000,0.04333717207165356,0.04333717207165356
858,5113 Other (than value added and sales tax),2016,600000,0.04333717207165356,0.04333717207165356
859,5113 Other (than value added and sales tax),2017,600000,0.04333717207165356,0.04333717207165356
860,5113 Other (than value added and sales tax),2018,600000,0.04333717207165356,0.04333717207165356
861,5113 Other (than value added and sales tax),2019,600000,0.04333717207165356,0.04333717207165356
862,5113 Other (than value added and sales tax),2020,600000,0.04333717207165356,0.04333717207165356
863,5113 Other (than value added and sales tax),2021,600000,0.04333717207165356,0.04333717207165356
864,5120 Taxes on specific goods and services,2004,600000,0.04333717207165356,0.04377551474537706
865,5120 Taxes on specific goods and services,2005,600000,0.04347398650557634,0.04377551474537706
866,5120 Taxes on specific goods and services,2006,600000,0.04333717207165356,0.04377551474537706
867,5120 Taxes on specific goods and services,2007,600000,0.04333717207165356,0.04377551474537706
868,5120 Taxes on specific goods and services,2008,600000,0.04333717207165356,0.04377551474537706
869,5120 Taxes on specific goods and services,2009,600000,0.04333717207165356,0.04377551474537706
870,5120 Taxes on specific goods and services,2010,600000,0.04333717207165356,0.04377551474537706
871,5120 Taxes on specific goods and services,2011,600000,0.04333717207165356,0.04377551474537706
872,5120 Taxes on specific goods and services,2012,600000,0.04333717207165356,0.04377551474537706
873,5120 Taxes on specific goods and services,2013,600000,0.04333717207165356,0.04377551474537706
874,5120 Taxes on specific goods and services,2014,600000,0.04354341383015908,0.04377551474537706
875,5120 Taxes on specific goods and services,2015,600000,0.04387572888939783,0.04377551474537706
876,5120 Taxes on specific goods and services,2016,600000,0.04366820699583806,0.04377551474537706
877,5120 Taxes on specific goods and services,2017,600000,0.04860437776185387,0.04377551474537706
878,5120 Taxes on specific goods and services,2004,600000,0.04333717207165356,0.04377551474537706
879,5120 Taxes on specific goods and services,2005,600000,0.04333717207165356,0.04377551474537706
880,5120 Taxes on specific goods and services,2006,600000,0.04333717207165356,0.04377551474537706
881,5120 Taxes on specific goods and services,2007,600000,0.04333717207165356,0.04377551474537706
882,5120 Taxes on specific goods and services,2008,600000,0.04333717207165356,0.04377551474537706
883,5120 Taxes on specific goods and services,2009,600000,0.04333717207165356,0.04377551474537706
884,5120 Taxes on specific goods and services,2010,600000,0.04333717207165356,0.04377551474537706
885,5120 Taxes on specific goods and services,2011,600000,0.04333717207165356,0.04377551474537706
886,5120 Taxes on specific goods and services,2012,600000,0.04333717207165356,0.04377551474537706
887,5120 Taxes on specific goods and services,2013,600000,0.04333717207165356,0.04377551474537706
888,5120 Taxes on specific goods and services,2014,600000,0.04333717207165356,0.04377551474537706
889,5120 Taxes on specific goods and services,2015,600000,0.04387572888939783,0.04377551474537706
890,5120 Taxes on specific goods and services,2016,600000,0.04366820699583806,0.04377551474537706
891,5120 Taxes on specific goods and services,2017,600000,0.04860437776185387,0.04377551474537706
892,5130 Unallocable between 5110 and 5120,2004,600000,0.04333717207165356,0.04333717207165356
893,5130 Unallocable between 5110 and 5120,2005,600000,0.04333717207165356,0.04333717207165356
894,5130 Unallocable between 5110 and 5120,2006,600000,0.04333717207165356,0.04333717207165356
895,5130 Unallocable between 5110 and 5120,2007,600000,0.04333717207165356,0.04333717207165356
896,5130 Unallocable between 5110 and 5120,2008,600000,0.04333717207165356,0.04333717207165356
897,5130 Unallocable between 5110 and 5120,2009,600000,0.04333717207165356,0.04333717207165356
898,5130 Unallocable between 5110 and 5120,2010,600000,0.04333717207165356,0.04333717207165356
899,5130 Unallocable between 5110 and 5120,2011,600000,0.04333717207165356,0.04333717207165356
900,5130 Unallocable between 5110 and 5120,2012,600000,0.04333717207165356,0.04333717207165356
901,5130 Unallocable between 5110 and 5120,2013,600000,0.04333717207165356,0.04333717207165356
902,5130 Unallocable between 5110 and 5120,2014,600000,0.04333717207165356,0.04333717207165356
903,5130 Unallocable between 5110 and 5120,2015,600000,0.04333717207165356,0.04333717207165356
904,5130 Unallocable between 5110 and 5120,2016,600000,0.04333717207165356,0.04333717207165356
905,5130 Unallocable between 5110 and 5120,2017,600000,0.04333717207165356,0.04333717207165356
906,5130 Unallocable between 5110 and 5120,2018,600000,0.04333717207165356,0.04333717207165356
907,5130 Unallocable between 5110 and 5120,2019,600000,0.04333717207165356,0.04333717207165356
908,5130 Unallocable between 5110 and 5120,2020,600000,0.04333717207165356,0.04333717207165356
909,5130 Unallocable between 5110 and 5120,2021,600000,0.04333717207165356,0.04333717207165356
910,5130 Unallocable between 5110 and 5120,2004,600000,0.04333717207165356,0.04333717207165356
911,5130 Unallocable between 5110 and 5120,2005,600000,0.04333717207165356,0.04333717207165356
912,5130 Unallocable between 5110 and 5120,2006,600000,0.04333717207165356,0.04333717207165356
913,5130 Unallocable between 5110 and 5120,2007,600000,0.04333717207165356,0.04333717207165356
914,5130 Unallocable between 5110 and 5120,2008,600000,0.04333717207165356,0.04333717207165356
915,5130 Unallocable between 5110 and 5120,2009,600000,0.04333717207165356,0.04333717207165356
916,5130 Unallocable between 5110 and 5120,2010,600000,0.04333717207165356,0.04333717207165356
917,5130 Unallocable between 5110 and 5120,2011,600000,0.04333717207165356,0.04333717207165356
918,5130 Unallocable between 5110 and 5120,2012,600000,0.04333717207165356,0.04333717207165356
919,5130 Unallocable between 5110 and 5120,2013,600000,0.04333717207165356,0.04333717207165356
920,5130 Unallocable between 5110 and 5120,2014,600000,0.04333717207165356,0.04333717207165356
921,5130 Unallocable between 5110 and 5120,2015,600000,0.04333717207165356,0.04333717207165356
922,5130 Unallocable between 5110 and 5120,2016,600000,0.04333717207165356,0.04333717207165356
923,5130 Unallocable between 5110 and 5120,2017,600000,0.04333717207165356,0.04333717207165356
924,5130 Unallocable between 5110 and 5120,2018,600000,0.04333717207165356,0.04333717207165356
925,5130 Unallocable between 5110 and 5120,2019,600000,0.04333717207165356,0.04333717207165356
926,5130 Unallocable between 5110 and 5120,2020,600000,0.04333717207165356,0.04333717207165356
927,5130 Unallocable between 5110 and 5120,2021,600000,0.04333717207165356,0.04333717207165356
928,5200 Taxes on use of goods and perform activities,2004,600000,0.04333717207165356,0.04333717207165356
929,5200 Taxes on use of goods and perform activities,2005,600000,0.04333717207165356,0.04333717207165356
930,5200 Taxes on use of goods and perform activities,2006,600000,0.04333717207165356,0.04333717207165356
931,5200 Taxes on use of goods and perform activities,2007,600000,0.04333717207165356,0.04333717207165356
932,5200 Taxes on use of goods and perform activities,2008,600000,0.04333717207165356,0.04333717207165356
933,5200 Taxes on use of goods and perform activities,2009,600000,0.04333717207165356,0.04333717207165356
934,5200 Taxes on use of goods and perform activities,2010,600000,0.04333717207165356,0.04333717207165356
935,5200 Taxes on use of goods and perform activities,2011,600000,0.04333717207165356,0.04333717207165356
936,5200 Taxes on use of goods and perform activities,2012,600000,0.04333717207165356,0.04333717207165356
937,5200 Taxes on use of goods and perform activities,2013,600000,0.04333717207165356,0.04333717207165356
938,5200 Taxes on use of goods and perform activities,2014,600000,0.04333717207165356,0.04333717207165356
939,5200 Taxes on use of goods and perform activities,2015,600000,0.04333717207165356,0.04333717207165356
940,5200 Taxes on use of goods and perform activities,2016,600000,0.04333717207165356,0.04333717207165356
941,5200 Taxes on use of goods and perform activities,2017,600000,0.04333717207165356,0.04333717207165356
942,5200 Taxes on use of goods and perform activities,2018,600000,0.04333717207165356,0.04333717207165356
943,5200 Taxes on use of goods and perform activities,2019,600000,0.04333717207165356,0.04333717207165356
944,5200 Taxes on use of goods and perform activities,2020,600000,0.04333717207165356,0.04333717207165356
945,5200 Taxes on use of goods and perform activities,2021,600000,0.04333717207165356,0.04333717207165356
946,5200 Taxes on use of goods and perform activities,2004,600000,0.04333717207165356,0.04333717207165356
